Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy,Suspense",13,404,8.99,12,23 min. per ep.,Spring 2022
3-gatsu no Lion 2nd Season,"Drama,Slice of Life",14,533,8.96,22,25 min. per ep.,Fall 2017
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"Action,Comedy,Sci-Fi",19,939,8.93,1,1 hr. 50 min.,Fall 2017
Gintama.,"Action,Comedy,Sci-Fi",12,735,8.99,12,24 min. per ep.,Winter 2017
Koe no Katachi,"Action,Comedy,Sci-Fi",15,19,8.96,1,2 hr. 10 min.,Winter 2017
Mo Dao Zu Shi: Wanjie Pian,"Action,Drama,Supernatural",49,2505,8.7,12,24 min. per ep.,Winter 2017
Code Geass: Hangyaku no Lelouch,"Action,Drama,Sci-Fi",50,17,8.7,25,24 min. per ep.,Fall 2006
Gintama,"Action,Comedy,Sci-Fi",16,127,8.95,201,24 min. per ep.,Spring 2006
Ginga Eiyuu Densetsu,"Drama,Sci-Fi",11,700,9.03,110,26 min. per ep.,Spring 2006
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action,Drama,Romance",48,763,8.71,4,30 min. per ep.,Spring 2006
Vinland Saga,"Action,Adventure,Drama",43,102,8.73,24,24 min. per ep.,Summer 2019
Hajime no Ippo,"Action,Adventure,Drama",42,376,8.74,75,23 min. per ep.,Fall 2000
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"Action,Fantasy,Supernatural",45,724,8.72,1,2 hr. 2 min.,Fall 2000
Violet Evergarden Movie,"Drama,Fantasy,Slice of Life",17,422,8.95,1,2 hr. 20 min.,Fall 2000
86 Part 2,"Action,Drama,Sci-Fi",44,647,8.72,12,23 min. per ep.,Fall 2021
Mushishi Zoku Shou 2nd Season,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",41,827,8.74,10,23 min. per ep.,Fall 2014
Haikyuu!! To the Top Part 2,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",98,244,8.54,12,23 min. per ep.,Fall 2020
Kara no Kyoukai Movie 5: Mujun Rasen,"Action,Drama,Mystery,Romance,Supernatural,Suspense",99,896,8.54,1,1 hr. 54 min.,Fall 2020
Clannad: After Story,"Drama,Romance,Supernatural",18,105,8.94,24,24 min. per ep.,Fall 2008
Mushishi Zoku Shou,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural",47,731,8.71,10,24 min. per ep.,Spring 2014
Zoku Natsume Yuujinchou,"Drama,Slice of Life,Supernatural",94,857,8.55,13,24 min. per ep.,Winter 2009
Neon Genesis Evangelion: The End of Evangelion,"Avant Garde,Drama,Sci-Fi",93,175,8.55,1,1 hr. 26 min.,Winter 2009
Ashita no Joe 2,"Action,Drama,Slice of Life,Sports",46,2917,8.71,47,24 min. per ep.,Fall 1980
Sora yori mo Tooi Basho,"Adventure,Comedy,Drama",95,416,8.54,13,23 min. per ep.,Winter 2018
Yakusoku no Neverland,"Mystery,Sci-Fi,Suspense",96,39,8.54,12,22 min. per ep.,Winter 2019
Koukaku Kidoutai: Stand Alone Complex,"Action,Sci-Fi",148,504,8.43,26,25 min. per ep.,Fall 2002
Code Geass: Hangyaku no Lelouch R2,"Action,Drama,Sci-Fi",20,47,8.91,25,24 min. per ep.,Spring 2008
Major S6,"Comedy,Drama,Sports",199,2452,8.34,25,24 min. per ep.,Spring 2010
Mononoke,"Fantasy,Horror,Mystery,Supernatural",149,710,8.43,12,22 min. per ep.,Summer 2007
Kiseijuu: Sei no Kakuritsu,"Action,Horror,Sci-Fi",196,41,8.35,24,23 min. per ep.,Fall 2014
Made in Abyss Movie 2: Hourou Suru Tasogare,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",197,1825,8.35,1,1 hr. 45 min.,Fall 2014
Yuru Camp△ Season 2,"Comedy,Slice of Life",97,1073,8.54,13,23 min. per ep.,Winter 2021
Psycho-Pass,"Action,Sci-Fi,Suspense",198,55,8.35,22,23 min. per ep.,Fall 2012
Given,"Boys Love,Drama,Romance,Slice of Life",195,387,8.35,11,22 min. per ep.,Summer 2019
Gintama: Shiroyasha Koutan,"Action,Comedy,Sci-Fi",194,2325,8.35,1,10 min.,Summer 2019
Mahou Shoujo Madoka★Magica,"Drama,Suspense",193,90,8.36,12,24 min. per ep.,Winter 2011
Hellsing Ultimate,"Action,Horror,Supernatural",191,165,8.36,10,49 min. per ep.,Winter 2011
Haikyuu!! To the Top,"Action,Horror,Supernatural",190,182,8.36,13,24 min. per ep.,Winter 2020
Saiki Kusuo no Ψ-nan,"Comedy,Supernatural",150,138,8.43,120,5 min. per ep.,Summer 2016
Kaze no Tani no Nausicaä,"Adventure,Fantasy",187,575,8.37,1,1 hr. 57 min.,Summer 2016
Kotarou wa Hitorigurashi,"Comedy,Slice of Life",188,2262,8.37,10,27 min. per ep.,Summer 2016
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"Action,Fantasy,Supernatural",100,589,8.53,1,1 hr. 57 min.,Summer 2016
Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama,Slice of Life,Supernatural",200,2120,8.34,1,23 min.,Summer 2016
Redline,"Action,Sci-Fi",250,584,8.28,1,1 hr. 42 min.,Summer 2016
Kingdom 2nd Season,"Action,Sci-Fi",192,1731,8.36,39,25 min. per ep.,Summer 2013
Gintama: Shinyaku Benizakura-hen,"Action,Comedy,Sci-Fi",247,3039,8.29,1,11 min.,Summer 2013
Nodame Cantabile,"Comedy,Drama,Romance,Slice of Life",249,662,8.28,23,22 min. per ep.,Winter 2007
Ashita no Joe,"Action,Drama,Slice of Life,Sports",245,2072,8.29,79,25 min. per ep.,Spring 1970
Fate/Zero,"Action,Fantasy,Supernatural",246,68,8.29,13,28 min. per ep.,Fall 2011
Kino no Tabi: The Beautiful World,"Action,Adventure,Slice of Life",244,719,8.3,13,24 min. per ep.,Spring 2003
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"Drama,Fantasy,Suspense",185,132,8.37,13,27 min. per ep.,Summer 2020
Diamond no Ace: Second Season,"Drama,Fantasy,Suspense",241,1475,8.3,51,24 min. per ep.,Spring 2015
Detective Conan Movie 06: The Phantom of Baker Street,"Adventure,Mystery",240,2193,8.3,1,1 hr. 47 min.,Spring 2015
Holo no Graffiti,"Adventure,Mystery",186,2774,8.37,Unknown,1 min.,Spring 2015
Steins;Gate: Oukoubakko no Poriomania,"Comedy,Sci-Fi",238,458,8.3,1,24 min.,Spring 2015
Tsubasa: Tokyo Revelations,"Action,Adventure,Drama,Fantasy,Romance",248,1869,8.29,3,30 min. per ep.,Spring 2015
Beck,"Comedy,Drama,Slice of Life",239,633,8.3,26,25 min. per ep.,Fall 2004
Shirobako,"Comedy,Drama",237,446,8.3,24,24 min. per ep.,Fall 2014
Shinsekai yori,"Drama,Horror,Mystery,Sci-Fi,Supernatural",234,217,8.31,25,22 min. per ep.,Fall 2012
Dr. Stone,"Adventure,Comedy,Sci-Fi",242,60,8.3,24,24 min. per ep.,Summer 2019
Bakuman. 2nd Season,"Comedy,Drama,Romance",189,578,8.36,25,24 min. per ep.,Fall 2011
Major: World Series,"Comedy,Drama,Sports",232,3280,8.31,2,28 min. per ep.,Fall 2011
Hibike! Euphonium 2,"Comedy,Drama,Sports",243,973,8.3,13,23 min. per ep.,Fall 2016
Hotarubi no Mori e,"Drama,Romance,Supernatural",228,205,8.31,1,45 min.,Fall 2016
Hunter x Hunter: Original Video Animation,"Action,Adventure,Fantasy",229,1543,8.31,8,24 min. per ep.,Fall 2016
Kuroko no Basket 3rd Season,"Action,Adventure,Fantasy",231,237,8.31,25,24 min. per ep.,Winter 2015
Initial D First Stage,"Action,Drama",230,624,8.31,26,25 min. per ep.,Spring 1998
Kawaki wo Ameku,"Action,Drama",226,3832,8.32,1,4 min.,Spring 1998
Doupo Cangqiong: San Nian Zhi Yue,"Action,Fantasy",223,8425,8.32,13,24 min. per ep.,Spring 1998
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy,Romance",300,130,8.23,13,24 min. per ep.,Spring 2015
Shelter (Music),"Comedy,Romance",233,622,8.31,1,6 min.,Spring 2015
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,"Action,Drama,Sci-Fi",298,1489,8.23,25,24 min. per ep.,Fall 2016
Major S1,"Comedy,Drama,Sports",297,1836,8.23,26,25 min. per ep.,Fall 2004
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action,Adventure,Comedy,Romance",236,402,8.3,94,25 min. per ep.,Winter 1996
World Trigger 3rd Season,"Action,Sci-Fi,Supernatural",235,2026,8.31,14,23 min. per ep.,Fall 2021
Evangelion: 2.0 You Can (Not) Advance,"Action,Drama,Sci-Fi",224,386,8.32,1,1 hr. 52 min.,Fall 2021
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Fantasy,Slice of Life",400,1238,8.13,12,23 min. per ep.,Spring 2020
Ginga Eiyuu Densetsu Gaiden,"Action,Drama,Sci-Fi",399,4061,8.13,24,26 min. per ep.,Spring 2020
Dragon Ball Super: Broly,"Action,Adventure,Fantasy",398,605,8.13,1,1 hr. 40 min.,Spring 2020
SKET Dance,"Action,Adventure,Fantasy",299,938,8.23,77,24 min. per ep.,Spring 2011
Douluo Dalu: Hanhai Qian Kun,"Action,Adventure,Fantasy,Romance",397,7347,8.13,13,21 min. per ep.,Spring 2011
Fate/stay night: Unlimited Blade Works 2nd Season,"Action,Fantasy,Supernatural",225,185,8.32,13,24 min. per ep.,Spring 2015
Doukyuusei (Movie),"Boys Love,Romance,Slice of Life",227,852,8.31,1,1 hr.,Spring 2015
Shoujo Kakumei Utena,"Comedy,Drama,Fantasy,Mystery",350,1021,8.18,39,23 min. per ep.,Spring 1997
Kaze Tachinu,"Drama,Romance",449,713,8.1,1,2 hr. 6 min.,Spring 1997
Kanata no Astra,"Adventure,Mystery,Sci-Fi",448,758,8.1,12,28 min. per ep.,Summer 2019
Haikyuu!! Movie 3: Sainou to Sense,"Adventure,Mystery,Sci-Fi",445,2244,8.1,1,1 hr. 29 min.,Summer 2019
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"Action,Drama,Sci-Fi",444,5163,8.1,12,25 min. per ep.,Summer 2019
Ramayana: The Legend of Prince Rama,"Action,Drama,Sci-Fi",348,6740,8.18,1,2 hr. 15 min.,Summer 2019
Diamond no Ace,"Action,Drama,Sci-Fi",441,895,8.1,75,24 min. per ep.,Fall 2013
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,"Action,Drama,Sci-Fi",443,3415,8.1,1,1 hr. 30 min.,Fall 2013
Kill la Kill,"Action,Comedy,Ecchi",499,48,8.05,24,24 min. per ep.,Fall 2013
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Action,Adventure,Drama,Supernatural",447,116,8.1,24,24 min. per ep.,Spring 2014
Hyouka,"Mystery,Slice of Life",446,87,8.1,22,25 min. per ep.,Spring 2012
Aria the OVA: Arietta,"Fantasy,Sci-Fi,Slice of Life",550,3215,8.01,1,30 min.,Spring 2012
Kara no Kyoukai Movie: Mirai Fukuin,"Drama,Mystery,Supernatural",549,1694,8.02,1,1 hr. 30 min.,Spring 2012
Kuroko no Basket: Saikou no Present Desu,"Action,Sports",450,1851,8.1,1,23 min.,Spring 2012
Shokugeki no Souma,"Gourmet,Ecchi",349,53,8.18,24,25 min. per ep.,Spring 2015
Kaichou wa Maid-sama!,"Comedy,Romance",547,98,8.02,26,24 min. per ep.,Spring 2010
Hololive Alternative,"Comedy,Romance",498,6378,8.05,1,1 min.,Spring 2010
Hachimitsu to Clover,"Comedy,Drama,Romance,Slice of Life",546,801,8.02,24,23 min. per ep.,Spring 2005
Kodomo no Omocha (TV),"Comedy,Drama,Romance",500,2407,8.05,102,22 min. per ep.,Spring 1996
Hyouge Mono,"Comedy,Drama,Romance",600,3768,7.97,39,25 min. per ep.,Spring 2011
Golden Boy,"Adventure,Comedy,Ecchi",545,594,8.02,6,28 min. per ep.,Spring 2011
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,"Comedy,Slice of Life",594,4178,7.98,1,24 min.,Spring 2011
Kamisama Hajimemashita OVA,"Comedy,Fantasy,Romance,Supernatural",548,1575,8.02,2,14 min. per ep.,Spring 2011
Durarara!!x2 Ten,"Action,Mystery,Supernatural",595,506,7.98,12,24 min. per ep.,Summer 2015
Azumanga Daioh,"Comedy,Slice of Life",597,650,7.97,26,24 min. per ep.,Spring 2002
Douluo Dalu: Haishen Zhi Guang,"Action,Adventure,Fantasy,Romance",442,7324,8.1,13,21 min. per ep.,Spring 2002
Working!!!,"Comedy,Romance",592,854,7.98,13,23 min. per ep.,Summer 2015
Fate/Grand Carnival,"Comedy,Fantasy,Supernatural",649,2973,7.94,4,15 min. per ep.,Summer 2015
Trigun: Badlands Rumble,"Action,Adventure,Comedy,Drama,Sci-Fi",646,1456,7.94,1,1 hr. 30 min.,Summer 2015
Tamako Love Story,"Comedy,Romance,Slice of Life",645,560,7.94,1,1 hr. 23 min.,Summer 2015
Douluo Dalu: Chongfan Haotian,"Action,Adventure,Fantasy,Romance",648,8295,7.94,13,21 min. per ep.,Summer 2015
Akagami no Shirayuki-hime 2nd Season,"Drama,Fantasy,Romance",593,596,7.98,12,24 min. per ep.,Winter 2016
Haibane Renmei,"Drama,Fantasy,Mystery,Slice of Life",598,793,7.97,13,24 min. per ep.,Fall 2002
Kingdom,"Drama,Fantasy,Mystery,Slice of Life",596,1093,7.98,38,25 min. per ep.,Summer 2012
Hokuto no Ken,"Action,Drama,Sci-Fi",599,1526,7.97,109,25 min. per ep.,Fall 1984
Boku no Hero Academia,"Action,Drama,Sci-Fi",647,6,7.94,13,24 min. per ep.,Spring 2016
Ookiku Furikabutte,"Comedy,Sports",697,1814,7.91,25,25 min. per ep.,Spring 2007
Lupin III (2015),"Action,Adventure,Comedy,Mystery",696,2339,7.91,24,25 min. per ep.,Fall 2015
Kono Oto Tomare!,"Drama,Romance",695,819,7.91,13,23 min. per ep.,Spring 2019
Ie Naki Ko Remy,"Adventure,Drama,Slice of Life",693,4345,7.91,23,23 min. per ep.,Fall 1996
Ergo Proxy,"Mystery,Sci-Fi",691,306,7.91,23,25 min. per ep.,Winter 2006
Sakigake!! Cromartie Koukou,"Mystery,Sci-Fi",700,1441,7.91,26,12 min. per ep.,Fall 2003
Hidamari Sketch x ☆☆☆,"Comedy,Slice of Life",692,3746,7.91,12,24 min. per ep.,Winter 2010
Drifters,"Action,Adventure,Comedy,Fantasy",689,359,7.91,12,23 min. per ep.,Fall 2016
Princess Connect! Re:Dive Season 2,"Action,Adventure,Comedy,Fantasy",698,1848,7.91,12,23 min. per ep.,Winter 2022
Aria the Avvenire,"Fantasy,Sci-Fi,Slice of Life",687,3822,7.91,3,21 min. per ep.,Winter 2022
Kotonoha no Niwa,"Drama,Romance,Slice of Life",685,189,7.92,1,46 min.,Winter 2022
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"Action,Fantasy,Supernatural",650,836,7.94,21,23 min. per ep.,Fall 2019
Kaleido Star,"Comedy,Drama,Fantasy",684,2039,7.92,51,23 min. per ep.,Spring 2003
JoJo no Kimyou na Bouken (TV),"Action,Adventure,Supernatural",683,65,7.92,26,24 min. per ep.,Fall 2012
Eyeshield 21,"Action,Adventure,Supernatural",681,1148,7.92,145,23 min. per ep.,Spring 2005
ef: A Tale of Memories.,"Drama,Mystery,Romance",690,813,7.91,12,24 min. per ep.,Fall 2007
Detective Conan OVA 09: The Stranger in 10 Years...,"Adventure,Comedy,Mystery",680,4225,7.92,1,22 min.,Fall 2007
Macross,"Action,Romance,Sci-Fi",686,1780,7.92,36,25 min. per ep.,Fall 1982
Hanasaku Iroha,"Comedy,Drama,Slice of Life",682,617,7.92,26,24 min. per ep.,Spring 2011
Carnival Phantasm,"Comedy,Supernatural",746,1065,7.88,12,14 min. per ep.,Spring 2011
Inochi no Tabekata,"Horror,Supernatural",750,8310,7.88,1,3 min.,Spring 2011
Jormungand: Perfect Order,"Action,Adventure",694,1113,7.91,12,24 min. per ep.,Fall 2012
Bungou Stray Dogs: Dead Apple,"Action,Comedy,Mystery,Supernatural",688,905,7.91,1,1 hr. 30 min.,Fall 2012
Detective Conan Movie 02: The Fourteenth Target,"Adventure,Comedy,Mystery",747,2465,7.88,1,1 hr. 39 min.,Fall 2012
Initial D Third Stage,"Action,Drama,Romance",749,1291,7.88,1,1 hr. 45 min.,Fall 2012
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,"Comedy,Fantasy",799,528,7.85,1,23 min.,Fall 2012
Haikyuu!! Riku vs. Kuu,"Comedy,Fantasy",850,798,7.82,2,22 min. per ep.,Fall 2012
Hoozuki no Reitetsu 2nd Season,"Comedy,Fantasy,Supernatural",748,2872,7.88,13,23 min. per ep.,Fall 2017
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",745,1039,7.88,1,1 hr. 32 min.,Fall 2017
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,"Action,Adventure,Drama",800,3264,7.85,1,53 min.,Fall 2017
Kageki Shoujo!!,"Action,Adventure,Drama",900,2267,7.79,13,24 min. per ep.,Summer 2021
Grisaia no Rakuen,"Drama,Romance",898,498,7.79,10,23 min. per ep.,Spring 2015
Kara no Kyoukai Movie 4: Garan no Dou,"Action,Mystery,Supernatural,Suspense",798,983,7.85,1,46 min.,Spring 2015
High Score Girl,"Action,Mystery,Supernatural,Suspense",899,871,7.79,12,24 min. per ep.,Summer 2018
The Disappearance of Conan Edogawa: The Worst Two Days in History,"Adventure,Comedy,Mystery",950,5211,7.77,1,1 hr. 31 min.,Summer 2018
Seitokai Yakuindomo OVA,"Adventure,Comedy,Mystery",947,1496,7.77,8,26 min. per ep.,Summer 2018
Zan Sayonara Zetsubou Sensei,"Adventure,Comedy,Mystery",744,1744,7.88,13,23 min. per ep.,Summer 2009
Bungou Stray Dogs,"Action,Comedy,Mystery,Supernatural",848,91,7.82,12,23 min. per ep.,Spring 2016
Shiki Specials,"Horror,Mystery,Supernatural,Suspense",948,2265,7.77,2,23 min. per ep.,Spring 2016
Ranma ½ OVA,"Comedy,Romance",999,3482,7.74,6,30 min. per ep.,Spring 2016
Tentai Senshi Sunred,"Comedy,Romance",949,4095,7.77,26,13 min. per ep.,Fall 2008
Neko no Ongaeshi,"Adventure,Drama,Fantasy",998,833,7.74,1,1 hr. 15 min.,Fall 2008
Udon no Kuni no Kiniro Kemari,"Fantasy,Slice of Life",996,1500,7.75,12,22 min. per ep.,Fall 2016
Tiger & Bunny Movie 2: The Rising,"Action,Comedy,Mystery",995,3574,7.75,1,1 hr. 40 min.,Fall 2016
Tegamibachi Reverse,"Adventure,Fantasy,Supernatural",994,2401,7.75,25,20 min. per ep.,Fall 2010
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,"Comedy,Drama,Slice of Life",993,5748,7.75,1,52 min.,Fall 2010
Mairimashita! Iruma-kun,"Comedy,Fantasy,Supernatural",997,516,7.74,23,23 min. per ep.,Fall 2019
Break Blade Movie 2: Ketsubetsu no Michi,"Action,Fantasy",1050,2390,7.72,1,51 min.,Fall 2019
Watashi no Ashinaga Ojisan,"Comedy,Romance,Slice of Life",1048,4764,7.72,40,23 min. per ep.,Winter 1990
K-On!!: Keikaku!,"Comedy,Slice of Life",797,1568,7.85,1,23 min.,Winter 1990
Rozen Maiden: Ouvertüre,"Action,Comedy,Drama",1045,2442,7.72,2,24 min. per ep.,Winter 1990
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"Action,Adventure,Fantasy",1043,3225,7.72,1,1 hr. 46 min.,Winter 1990
Capeta,"Action,Adventure,Fantasy",849,3871,7.82,52,23 min. per ep.,Fall 2005
Ani ni Tsukeru Kusuri wa Nai! 3,"Comedy,Slice of Life",1099,3365,7.7,12,3 min. per ep.,Fall 2019
Baka to Test to Shoukanjuu Ni!,"Comedy,Romance",1100,534,7.7,13,24 min. per ep.,Summer 2011
Tsuki ga Michibiku Isekai Douchuu,"Action,Adventure,Comedy,Fantasy",1047,723,7.72,12,23 min. per ep.,Summer 2021
Kami nomi zo Shiru Sekai,"Comedy,Romance,Supernatural",1150,300,7.68,12,23 min. per ep.,Fall 2010
Akage no Anne,"Drama,Slice of Life",1049,3613,7.72,50,25 min. per ep.,Winter 1979
Ichigo Mashimaro Encore,"Comedy,Slice of Life",1149,4127,7.68,2,27 min. per ep.,Winter 1979
Giovanni no Shima,"Comedy,Slice of Life",1148,3542,7.68,1,1 hr. 42 min.,Winter 1979
Saint Seiya,"Adventure,Fantasy,Sci-Fi",1000,1139,7.74,114,24 min. per ep.,Fall 1986
Tetsuwan Birdy Decode:02,"Action,Comedy,Sci-Fi",1046,2678,7.72,12,23 min. per ep.,Winter 2009
Urusei Yatsura,"Action,Adventure,Comedy,Drama,Romance,Sci-Fi",1098,2181,7.7,195,25 min. per ep.,Fall 1981
Inuyashiki,"Action,Drama,Sci-Fi",1200,316,7.66,11,22 min. per ep.,Fall 2017
Ghost (Music),"Action,Drama,Sci-Fi",1198,11442,7.66,1,4 min.,Fall 2017
Psycho-Pass Movie,"Action,Sci-Fi",1044,802,7.72,1,1 hr. 53 min.,Fall 2017
Hai to Gensou no Grimgar,"Action,Adventure,Drama,Fantasy",1199,241,7.66,12,24 min. per ep.,Winter 2016
Koyomimonogatari,"Comedy,Mystery,Supernatural",1250,882,7.64,12,14 min. per ep.,Winter 2016
Jungle wa Itsumo Hare nochi Guu Final,"Comedy,Slice of Life",1249,5629,7.64,7,26 min. per ep.,Winter 2016
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,"Action,Adventure,Drama,Fantasy",1042,1949,7.72,1,1 hr. 31 min.,Winter 2016
Initial D Battle Stage 2,"Action,Drama",1248,3657,7.64,1,1 hr. 20 min.,Winter 2016
Huyao Xiao Hongniang: Yue Hong,"Comedy,Romance,Supernatural",1246,5048,7.64,13,14 min. per ep.,Winter 2016
Fairy Tail (2014),"Action,Adventure,Fantasy",1197,146,7.66,102,24 min. per ep.,Spring 2014
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,"Comedy,Drama,Slice of Life",1300,5322,7.62,1,52 min.,Spring 2014
Shin Tennis no Ouji-sama OVA vs. Genius 10,"Comedy,Drama,Slice of Life",1297,4624,7.62,10,24 min. per ep.,Spring 2014
Hana yori Dango,"Drama,Romance",1244,2491,7.64,51,25 min. per ep.,Fall 1996
Ryuu to Sobakasu no Hime,"Drama,Fantasy",1296,1779,7.62,1,2 hr. 2 min.,Fall 1996
Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,"Action,Fantasy",1245,8431,7.64,1,1 hr. 13 min.,Fall 1996
Fruits Basket,"Drama,Fantasy,Romance",1147,357,7.68,26,24 min. per ep.,Summer 2001
Ajin Part 2,"Action,Horror,Mystery,Supernatural",1349,734,7.6,13,24 min. per ep.,Fall 2016
Ashita no Nadja,"Adventure,Drama,Romance",1350,3548,7.6,50,24 min. per ep.,Winter 2003
Yoru wa Honoka,"Adventure,Drama,Romance",1348,10446,7.6,1,3 min.,Winter 2003
Towa no Quon 6: Towa no Quon,"Action,Sci-Fi,Supernatural",1347,3137,7.6,1,48 min.,Winter 2003
Shoujo Kakumei Utena: Adolescence Mokushiroku,"Avant Garde,Drama,Fantasy,Girls Love,Romance",1298,2765,7.62,1,1 hr. 30 min.,Winter 2003
Soredemo Sekai wa Utsukushii,"Adventure,Fantasy,Romance",1299,705,7.62,12,22 min. per ep.,Spring 2014
"Yondemasu yo, Azazel-san.","Comedy,Supernatural",1399,3500,7.58,4,21 min. per ep.,Spring 2014
Ichigo Mashimaro,"Comedy,Slice of Life",1247,1890,7.64,12,24 min. per ep.,Summer 2005
Ushio to Tora (TV),"Action,Adventure,Comedy,Supernatural",1397,942,7.58,26,24 min. per ep.,Summer 2015
To LOVE-Ru Darkness 2nd Specials,"Comedy,Romance,Sci-Fi,Ecchi",1395,1902,7.58,2,23 min. per ep.,Summer 2015
Ruru-chan no Jisatsu Haishin,"Comedy,Romance,Sci-Fi,Ecchi",1295,9381,7.62,1,4 min.,Summer 2015
Minami-ke Okaeri,"Comedy,Slice of Life",1450,2310,7.56,13,24 min. per ep.,Winter 2009
Yowamushi Pedal Movie,"Comedy,Slice of Life",1400,3594,7.58,1,1 hr. 29 min.,Winter 2009
Yama no Susume Third Season,"Adventure,Comedy,Slice of Life",1448,4151,7.57,13,13 min. per ep.,Summer 2018
Uchuu Senkan Yamato,"Action,Adventure,Drama,Sci-Fi",1396,3814,7.58,26,25 min. per ep.,Fall 1974
Kaitou Saint Tail,"Adventure,Romance",1499,4382,7.55,43,22 min. per ep.,Fall 1995
"Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!","Adventure,Romance",1500,3614,7.55,1,26 min.,Fall 1995
World Trigger,"Action,Sci-Fi,Supernatural",1398,511,7.58,73,23 min. per ep.,Fall 2014
Tensura Nikki: Tensei shitara Slime Datta Ken,"Comedy,Fantasy,Slice of Life",1447,751,7.57,12,23 min. per ep.,Spring 2021
InuYasha Movie 4: Guren no Houraijima,"Action,Adventure,Comedy,Drama,Fantasy,Romance,Supernatural",1497,1927,7.55,1,1 hr. 27 min.,Spring 2021
Heya Camp△: Sauna to Gohan to Sanrin Bike,"Comedy,Slice of Life",1496,4703,7.55,1,11 min.,Spring 2021
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,"Adventure,Comedy,Fantasy,Sci-Fi",1492,1834,7.55,1,47 min.,Spring 2021
Jigoku Sensei Nube,"Adventure,Comedy,Horror,Romance,Supernatural",1498,4386,7.55,49,24 min. per ep.,Spring 1996
Date A Bullet: Dead or Bullet,"Action,Sci-Fi",1490,1922,7.55,1,24 min.,Spring 1996
Genshiken OVA,"Comedy,Slice of Life",1243,2694,7.64,3,24 min. per ep.,Spring 1996
Aikatsu Stars!,"Comedy,Slice of Life",1487,4453,7.55,100,24 min. per ep.,Spring 2016
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,"Comedy,Sci-Fi",1489,1393,7.55,1,23 min.,Spring 2016
Aa! Megami-sama! Movie,"Comedy,Romance,Supernatural",1486,2961,7.55,1,1 hr. 46 min.,Spring 2016
Kara no Kyoukai Remix: Gate of Seventh Heaven,"Action,Mystery,Romance,Suspense",1485,2808,7.56,1,1 hr. 1 min.,Spring 2016
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,"Action,Mystery,Romance,Suspense",1488,3074,7.55,1,1 hr.,Spring 2016
Ginga Tetsudou 999 (Movie),"Adventure,Drama,Fantasy,Sci-Fi",1495,4425,7.55,1,2 hr. 8 min.,Spring 2016
Giant Killing,"Drama,Sports",1494,2285,7.55,26,24 min. per ep.,Spring 2010
Fugou Keiji: Balance:Unlimited,"Comedy,Mystery",1548,525,7.54,11,23 min. per ep.,Spring 2020
Doraemon Movie 07: Nobita to Tetsujin Heidan,"Adventure,Comedy,Fantasy",1491,6461,7.55,1,1 hr. 40 min.,Spring 2020
Densetsu no Yuusha no Densetsu,"Action,Adventure,Fantasy",1546,711,7.54,24,24 min. per ep.,Summer 2010
Candy Candy,"Drama,Slice of Life",1545,3655,7.54,115,25 min. per ep.,Fall 1976
Hataraku Saibou Black (TV),"Action,Drama",1550,1001,7.54,13,23 min. per ep.,Winter 2021
Durarara!!x2 Ten: Onoroke Chakapoko,"Action,Mystery,Supernatural",1547,2672,7.54,1,24 min.,Winter 2021
