Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Mobile Suit Gakuen: Kaette Kita G-Reco Koushien,"Adventure,Fantasy",12878,12883,6.45,Unknown,1 min.,Summer 2005
Mofa Chuanshuo,"Adventure,Fantasy",12887,19287,6.45,40,3 min. per ep.,Summer 2005
Mo Jing Lieren 2nd Season,"Adventure,Fantasy",12874,16599,6.45,26,12 min. per ep.,Summer 2005
Mo Jing Lieren 3rd Season,"Adventure,Fantasy",12875,16066,6.45,29,13 min. per ep.,Summer 2005
Mo Jing Lieren,"Adventure,Fantasy",12873,15367,6.45,26,12 min. per ep.,Summer 2005
Mo Dan Wang,"Adventure,Fantasy",12870,19889,6.45,52,22 min. per ep.,Summer 2005
Mochi Mochi no Ki,"Adventure,Fantasy",12883,15467,6.45,1,16 min.,Summer 2005
Mo Feng,"Adventure,Fantasy",12872,19890,6.45,1,9 min.,Summer 2005
Mobile Suit Gundam 00: Revealed Chronicle,"Action,Sci-Fi",12880,14730,6.45,Unknown,6 min.,Summer 2005
Mole Zhuang Yuan 2nd Season,"Action,Sci-Fi",12901,18979,6.45,52,12 min. per ep.,Summer 2005
Mister Jewel Box,"Action,Sci-Fi",12865,17879,6.45,1,3 min.,Summer 2005
Mobile Suit Gundam: Iron-Blooded Orphans Special Edition,"Action,Drama,Sci-Fi",12882,12358,6.45,9,25 min. per ep.,Spring 2022
Mizushiri Yoriko no Yorinuki Yoriko-san,"Action,Drama,Sci-Fi",12869,18069,6.45,7,41 sec. per ep.,Spring 2022
Mizu no Naka no Suisougaku,"Action,Drama,Sci-Fi",12866,17365,6.45,2,2 min. per ep.,Spring 2022
Mirror Tune,"Action,Drama,Sci-Fi",12863,16263,6.45,1,4 min.,Spring 2022
Mirai Shouboushi Kyuuta,"Action,Drama,Sci-Fi",12861,18483,6.45,1,12 min.,Spring 2022
Mirai Note,"Action,Drama,Sci-Fi",12860,19888,6.45,1,4 min.,Spring 2022
Mo Jing Lieren 4th Season,"Adventure,Fantasy",12876,19891,6.45,28,13 min. per ep.,Spring 2022
Mo Di Qiyu Ji,"Adventure,Fantasy",12871,19034,6.45,26,24 min. per ep.,Spring 2022
Mirai no Hito e,"Adventure,Fantasy",12859,17181,6.45,1,4 min.,Spring 2022
Mirai e no Tegami: Kono Michi no Tochuu kara,"Adventure,Fantasy",12855,15437,6.45,2,15 min. per ep.,Spring 2022
"Mirai e no Niji: Boku no Ojisan wa, Hansen-byou","Adventure,Fantasy",12854,17726,6.45,1,30 min.,Spring 2022
Mizuki Shigeru no Toono Monogatari,"Adventure,Fantasy",12868,15047,6.45,1,Unknown,Spring 2022
Miracle! Mimika,"Gourmet,Slice of Life",12852,14100,6.45,225,10 min. per ep.,Spring 2006
Mirai Kara no Message,"Gourmet,Slice of Life",12857,17795,6.45,1,25 min.,Spring 2006
Mirai ni Mukete: Bousai wo Kangaeru,"Gourmet,Slice of Life",12858,15495,6.45,1,1 hr.,Spring 2006
Ming Ji 3: Qushe,"Gourmet,Slice of Life",12824,19882,6.45,1,6 min.,Spring 2006
Ming Ji 4: Chenfeng Zhuiyi,"Gourmet,Slice of Life",12825,19883,6.45,1,7 min.,Spring 2006
Miraesonyeon Kunta Beomyuda 5000 Nyeon,"Action,Adventure",12853,16557,6.45,1,1 hr. 15 min.,Spring 2006
